"title","abstract","typeS","session_id","session_type_id","year"
"Predicting Corrective Action Procedure Requests in Nuclear Power Plant Employees","This study attempts to predict which employees at a nuclear power plant will file an insignificant corrective action procedure (CAP) request using scores on a measure of aggression. Aggression was measured using the Conditional Reasoning Test for Aggression, and CAP data were gathered from company archives over a 12-month period.","Poster",3749,22,2011
"Multisource Reference Feedback and Candidate Motivation Can Identify Quality Nurses","Structured, multisource reference feedback and candidate motivation as selection components for nursing candidates were investigated. Using 448 newly hired nurses, we found multisource reference feedback on candidate performance at previous jobs, and an objective measure of candidate motivation to complete the selection process predicted subsequent supervisory ratings and turnover.  

","Poster",3598,22,2011
"Sex and Racial Differences in Socially Desirable Responding","This study examined sex and racial differences in socially desirable responding in a large applied sample. Notable differences emerged in both sex and various racial groups. In a simulated hiring situation, employing cutoff scores for both Conscientiousness and socially desirable responding scores, Asian Americans were less likely to be selected.","Poster",3599,22,2011
"Measurement Specificity and the Relation Between Personality and Emotional Intelligence","In this study we examined relations involving the Big 5, narrow personality traits, and broad and narrow scales of Emotional Intelligence (EI). Results suggest that narrow traits explain variance in EI beyond the Big 5. We conclude that the Big 5 do not explain all personality-relevant variation in EI. ","Poster",3600,22,2011
"Designing Pareto-Optimal Systems for Complex Selection Decisions","The paper presents 2 methods that yield the expected selection quality and the adverse impact ratio of complex selection decisions based on specific predictors and their characteristics. In addition, corresponding decision aids for designing predictor composites that offer a Pareto-optimal balance in complex selection situations are presented and illustrated.
","Poster",3601,22,2011
"Sex Differences in Physical Ability: Implications for Adverse Impact","This study presents updated, precise estimates regarding sex differences in physical ability. Findings revealed substantial male-female differences in muscular strength and cardiovascular endurance, but smaller differences for body movement quality. Moreover, findings suggest that job simulation physical tests potentially result in more adverse impact than basic physical ability tests.","Poster",3602,22,2011
"Exploring the Use of Rater Assigned Item Difficulties (RAID)","This study used rater assigned item difficulties (RAIDs) to approximate IRT difficulty parameters for scoring. Based on RAIDs from 19 subject-matter experts (SMEs) for an operational test form consisting of 38 items, a simulation study was conducted to determine the usefulness of RAIDs for accurate scoring.","Poster",3603,22,2011
"Criterion-Related Validity of the Employee Screening Questionnaire","Across 3 samples, we examined the criterion validity of the Employee Screening Questionnaire (ESQ), a brief forced-choice measure of integrity in the workplace. Results suggested that ESQ scores correlate highly with self- and other reports of counterproductive work behaviors, and self-reports of job satisfaction and turnover intentions.","Poster",3604,22,2011
"Introducing the Revised Implicit Achievement-Motive Assessment, CRT-RMS: Form-N","We examined a modified version of CRT-RMS, Form-N, to implicitly assess achievement motives. The modified measure yielded enhanced reliability and validity for predicting academic achievement, in a sample of college students. Form-N explained larger variance in academic achievement than a self-report achievement measure. Results supported using implicit personality assessments.","Poster",3605,22,2011
"A Similarity-Based Map of Assessment Center Dimensions","This study aimed at determining the similarity of assessment center (AC) dimensions and evaluating existing categorization systems for AC dimensions. Based on similarity judgments, we used multidimensional scaling to generate a map of 94 AC dimensions. Implications for research and for AC design and use will be discussed.","Poster",3758,22,2011
"Predicting MCAT Performance: The Mediating Effects of Test-Taking Self-Efficacy","This study examines test-taking self-efficacy as a mediator among race, sex, and performance on the MCAT. Blacks, Hispanics, and Whites reported similar levels of test-taking self-efficacy. Results also showed that test-taking self-efficacy partially mediated the relation between sex and performance on science sections of the MCAT. ","Poster",3759,22,2011
"A Large Sample Response Addressing Low Power in Differential Prediction","Recent work has called into question past findings on differential prediction by race for organizational selection tools. This study addresses the issues raised with 2 large educational datasets reaffirming that Black students are not disadvantaged relative to White students when using the SAT to predict subsequent college academic performance.","Poster",3760,22,2011
"Employment Interview Reliability: Updating Conway, Jako, and Goodman (1995)","This study presents an update of Conway, Jako, and Goodman's (1995) meta-analysis of employment interview reliability. Results were more stable and theoretically consistent. Further, results suggest an empirical adjustment of .23 to panel reliabilities to account for error not otherwise captured and that agreement is higher for cognitively loaded dimensions.","Poster",3761,22,2011
"What do you see? Interviewers' perceptions of applicant impression management","Research has investigated applicant impression management behaviors or attempts to influence interviewers' evaluations in employment interviews but overlooked interviewers' perceptions of such behaviors. Results from a field study of actual employment interviews show that interviewers perceive them inaccurately and perceptions influence interview outcomes. Implications for research and practice are discussed.","Poster",3762,22,2011
"Content Validity Is Little Help When Choosing Among Selection Tests","The match or mismatch between content of selection tests and job content has little bearing on criterion-related validity.  Two studies confirm that when choosing from reliable, intercorrelated tests, selection batteries chosen to maximize content validity do not perform better than batteries chosen randomly or chosen to minimize content validity.","Poster",3763,22,2011
"A Meta-Analytic Review of the Motivated Strategies for Learning Questionnaire","A meta-analytic review of the Motivated Strategies for Learning Questionnaire is presented.  Results based on 2,143 correlations from 66 independent samples and 19,745 college students indicate that the subscales of the MSLQ vary in their utility for predicting grades, with grade-related validities ranging from r=.40 to r=.05. ","Poster",3764,22,2011
"Creating a Social Intelligence Test to Predict Interpersonal Performance ","A performance-based social intelligence measure was developed using a situational judgment test format. Validation efforts concluded that social intelligence is independent from general intelligence and personality. In addition, the measure predicted performance in interpersonal assessment center exercises. Socially effective behaviors may partially mediate this relationship.","Poster",3765,22,2011
"Pregnant Job Applicants and Employment Interviews: Stigmatization or Absenteeism?","Discrimination against pregnant applicants may stem from absenteeism concerns. But are applicants who need an equivalent amount of time off rated similarly? All applicants requesting time off, regardless of reason, received less favorable ratings than the applicant not requesting leave. Absenteeism was a primary concern not the visual pregnancy stigma.","Poster",3766,22,2011
"Does Anxiety Create Differential Predictive Validity in Cognitive Ability Tests?","We investigate whether test anxiety creates differential predictive validity in cognitive ability tests. The predictive validity stemming from the use of a cognitive ability test to predict final exam performance decreased as worry (the cognitive aspect of anxiety) increased. Tension (the physiological aspect of anxiety) did not influence validity. ","Poster",3767,22,2011
"The Relationship of Scale Reliability and Validity to Respondent Inconsistency","The relationship of reliability and validity estimates for personality scales to respondent inconsistency measured on a separate scale was investigated. Scale reliabilities were larger when estimated using the most consistent respondents. Validity of Conscientiousness as a predictor of GPA was higher in groups composed of more consistent respondents.","Poster",3768,22,2011
"Development and Validation of a Self-Assessment of Learning Agility","Learning agility has become an important construct in leadership and talent management. The objective of this study is to design a psychometrically sound self-assessment of learning agility that would help organization identify learning agile individuals for section, development, and succession planning.  ","Poster",3769,22,2011
"Publication Bias and the Validity of Conditional Reasoning Tests","Analyses were conducted to evaluate the possible presence and influence of publication bias on the validity of conditional reasoning tests for aggression. Multiple publication bias methods yielded results consistent with a conclusion of publication bias suggesting that the reported validity of the conditional reasoning tests may be overestimated. ","Poster",3770,22,2011
"Predicting Credit Risk With Psychometric Assessments: Potential Substitute for Credit Checks?","This paper reviews 2 empirical studies regarding the development and validation of an integrity-based assessment used to help evaluate the credit risk of small business loan applicants when credit history is not available. Results suggest that integrity tests may provide an alternative to credit checks assessing risk in lending applications.","Poster",3771,22,2011
"Personality as a Predictor of Military Suitability","This study examined whether the dimensions of emotional adjustment, integrity/control, intellectual efficiency, and interpersonal relations from the 16PF Protective Services Report (PSR) predicted the recruits' suitability interview score; the goal being to provide a cheaper screening alternative. Moderation effects of gender and overall importance of the measures were also examined.","Poster",3772,22,2011
"Deriving Synthetic Validity Models: Is R = .80 Large Enough?","Many view the Rs typically seen for job-component validation (JCV) models as adequate to justify inferences of validity/utility. This study derived JCV models predicting DOT strength from O*NET dimensions; although Rs in the .80s were achieved, errors of prediction were too large to justify its applied use. ","Poster",3773,22,2011
"Item Characteristics of Three- Versus Five-Option Multiple-Choice Tests","The most common format across multiple-choice testing is the 5-option item, despite research demonstrating that 3-option items show comparable psychometric characteristics and several advantages.  Participants completed 3- or 5-option tests and results demonstrated that 3-option items were comparable to 5-options across several test characteristics.","Poster",3774,22,2011
"Practical Impact of Predictor Reliability for Personnel Selection Decisions ","In personnel selection, employment tests are intended to reduce selection errors and increase mean predicted performance. This study examines the impact of measurement reliability on selection accuracy. Results reflect the importance of having reliable and valid predictor measures; the work also extends ideas in the area of utility analysis.
","Poster",3775,22,2011
"Exploring Nonlinearity in the Relationship Between HSGPA and College Grades","The linearity of grade relationships with subsequent performance was examined with data from 63,241 students across 49 colleges. Although the relationship was generally monotonic, using the LOESS technique meaningful relationships beyond strict linearity was shown. Predictive strength declines after a 4.0, the most frequently occurring GPA.","Poster",3776,22,2011
"Strategic Item Selection to Reduce Survey Length","This study examines the psychometric properties of 2 well-being measures using a strategic item selection approach. Results indicate that short-form measures produce better fit than the full versions and demonstrate equivalent criterion-related validity. The authors discuss implications for reducing analytical and methodological concerns faced by researchers and practitioners.","Poster",3777,22,2011
"Development and Validation of the German Work-Related Curiosity Scale","Findings regarding development and validation of the Work-Related Curiosity Scale are reported. The scale had acceptable internal consistency and expected convergent, divergent, and criterion-related validities. As such, it is suitable for the investigation of curiosity in the workplace and can be used for applied purposes such as personnel selection. ","Poster",3778,22,2011
"The Development and Use of Global Norms","As globalization increases, test publishers often debate the need and appropriate use of global norms. Issues concerning form equivalence, however, render them problematic. In this panel, senior researchers in 4 of the world's largest personality test publishers will discuss issues surrounding the development and use of global norms.","Panel Discussion",3779,6,2011
"Getting the Right Start: Advice for Early Career I-O Psychologists","Early career I-O psychologists face challenges that were not present a few years ago, including a difficult economy, effectively utilizing social networking Web sites, and changing attitudes around diversity legislation. The panel will prepare I-O psychologists to be more effective in their jobs and to reduce the stress of being new.","Panel Discussion",3780,6,2011
"Jobs in Academia: Much More Than I-O","Majority of positions in academia are found in nondoctoral universities involving a heavy teaching load. The purpose of this panel discussion is to share with participants their experiences in such academic positions. Topics to be discussed include finding a job, teaching preps, research, and service requirements.","Panel Discussion",3781,6,2011
"Diversity Networks From Startup to Strategy","Changing workforce demographics have led to an increase in the number of minority and women workers.  This panel discussion will discuss the role employee resource groups play within organizations in providing support to this important segment of the workforce and helping organizations achieve their goals.","Panel Discussion",3782,6,2011
"Discrimination in the 21st Century: Contemporary Perspectives of Organizational Discrimination ","The persistence of inequity necessitates the study of new perspectives of discrimination in organizations. Four papers provide unique, yet complementary, evidence of actors', targets', and perceivers' perspectives of discrimination toward understudied populations using diverse theories. Thus, this session will demonstrate challenges facing scholars and practitioners in an increasingly diverse workplace.","Symposium/Forum",3783,2,2011
"CREW (Civility, Respect, Engagement at Work): Intervention Increasing Workplace Civility","This symposium focuses on Civility, Respect, and Engagement in the Workforce (CREW), a nationwide organizational intervention that started at the USA Veterans Health Administration. The demonstrated success and a growing scope of CREW provide reasons to examine in more detail its processes, outcomes, and experience of its participants.","Symposium/Forum",3784,2,2011
"A Legal Review of the Content Validation Argument","Organizations that use employment tests must establish validity evidence to defend their use vis-a-vis legal challenges. Although the Uniform Guidelines recognize several validation strategies, some would argue that content validation is a second-class citizen among methods. This session will explore legal and professional cases and issues in content-related strategies.","Roundtable Discussion/Conversation Hour",3785,7,2011
"Succession Planning: Innovations and Best Practices","Succession planning is an increasingly important practice as many prepare for retirement, leaving a potential vacuum of experienced leadership.  Presenters will share real world challenges and solutions, as well as a survey of best practices from 30+ organizations.  Implementation challenges and lessons learned will also be reviewed.","Symposium/Forum",3786,2,2011
"Preparing for the Workplace--the Virtual Workplace","Various advancements have led to an increase in people working virtually.  The purpose of this panel discussion is to provide an overview of the virtual workplace, the requirements to effectively work virtually, and the role I-O psychologists serve in preparing students and new employees for the virtual workplace.","Panel Discussion",3787,6,2011
"Applying Science to Improve the Teaching of Teamwork in Classrooms","College graduates are entering the workforce equipped with technical knowledge but lack the critical teamwork skills required to effectively operate on the job. In this symposium, researchers present 3 efforts demonstrating how science can inform the development of tools to improve the instruction and management of teamwork in the classroom.","Symposium/Forum",3788,2,2011
"Effects of Behavioral Rating and Outcome Feedback on Group Performance","The study was conducted to empirically demonstrate that a group's outcome, an objective measure of job performance, was the direct result of the task behaviors engaged in by the individual group members.  This relationship was explored through the manipulation of 4 different combinations of behavioral and outcome feedback.","Poster",3789,22,2011
"Leader Personal Values, Transformational Leadership, and Follower Outcomes","We tested an integrated model of transformational leadership consisting of leader personal values, follower attitudes toward corporate social responsibility, and leadership performance outcomes. Data from 110 managers and 472 of their direct reports demonstrate mostly strong support for the integrated model. Implications for theory, practice, and future research are discussed.","Poster",3790,22,2011
"How Transformational Leaders Can Discourage Prospective Leavers From Quitting","This study extends the sparse research regarding the effect of leadership on follower turnover by investigating how transformational leadership affects the withdrawal process. We provided a multilevel investigation into the joint and interactive effects of negative unit-level shocks and transformational leadership on the turnover process.  ","Poster",3791,22,2011
"The Relative Importance of Managerial Skills for Predicting Leader Effectiveness","Using a sample of 733 managers, this study examined the relative importance of 4 managerial skills at predicting leader effectiveness. All 4 skill dimensions were significantly important predictors to varying degrees. Organizational level was a significant moderator of the managerial skill-effectiveness relationship but gender was not.","Poster",3792,22,2011
"The Role of Fit in Understanding Leader Effectiveness Across Cultures","Building on implicit leadership theory and using multinational data, this paper examines the relationships among direct reports' expectations, perceptions, and performance ratings of leaders.  For this, a cross-cultural 360deg assessment of leadership was developed, and the relationships between leadership expectations, behaviors, and performance ratings were examined with polynomial regression.

","Poster",3793,22,2011
"The Effects of Storytelling and Reflexivity on Team Mental Models","Although team mental models (TMMs) have been shown to positively predict team performance, their antecedents have been underresearched. This study investigated the effects of 2 team-level interventions, storytelling and guided team reflexivity, on TMM similarity and performance in 107 teams performing an emergency crisis management simulation.  ","Poster",3794,22,2011
"Does Diversity Training Work?  A Meta-Analytic Evaluation","Little consensus exists regarding whether diversity training has beneficial effects. We conducted a meta-analytic examination of diversity training using Kraiger, Ford, and Salas' (1993) model of training evaluation. We examined effects from 34 usable studies. Results revealed small to moderate effects for cognitive, skill-based, and affective-based outcomes. Implications are presented.","Poster",3795,22,2011
"The Conceptualization and Measurement of Pacing Styles","Pacing style reflects how individuals distribute their effort over time in working toward deadlines. This research improved the conceptualization of pacing style and developed as well as validated a new scale-based measure. Eight independent samples supported the dimensionality, internal consistency, and validity (convergent, discriminant, predictive) of the new scale. ","Poster",3796,22,2011
"Alternative Scoring Approaches for Retest Scores: Implications for Differential Prediction","This study examines whether repeater and nonrepeater Medical College Admission Test (MCAT) scores calculated under different scoring approaches differentially predict United States Medical Licensing Examination Step 2 CK. Results showed that overprediction varied with respect to scoring approach and the number of times an examinee took the MCAT. ","Poster",3797,22,2011
"Mean Score and Validity Differences Among Bogus Item Endorsement Groups","We examined score differences on various measures, as well the correlations with work simulation performance, among groups with different endorsement rates to bogus items in a manufacturing applicant sample.  We found that fakers score lower in ability and higher on personality and biodata measures, which also affects validity.","Poster",3798,22,2011
"Meta-Analytic Multitrait-Multirater Separation of Substance and Style in Social Desirability","A meta-analytic multitrait-multirater study shows social desirability and its subdimensions are independent from self-rating method factors (response style) but strongly related to Big 5 trait factors (substance) of Emotional Stability, Conscientiousness, and Agreeableness. Research and practice adjusting personality scores for social desirability will weaken rather than strengthen personality measures' validity.","Poster",3799,22,2011
"Faking at the Individual Level: How Many People ""Fake Bad?""","This study examined the notion that when attempting to elevate their scores on personality measures some actually reduce them. As hypothesized, this research suggests that a significant number of people (26%) actually faked in the wrong direction on at least 1 of the 5 personality scales.","Poster",3800,22,2011
"The Faking Dilemma: Competing Motivations in Respondents' Decision to Fake","Several situational variables hypothesized to either encourage or discourage the motivation to fake a preemployment personality test were manipulated in a policy capturing experiment. The situational variables altered the anticipated risks and benefits associated with faking with corresponding changes in participants' motivation to fake. ","Poster",3801,22,2011
"The Fakability of Explicit and Implicit Measures of Conscientiousness","The fakability of 3 measures of Conscientiousness was examined: the IPIP, the Conditional Reasoning Test, and Implicit Association Tests. Data from a student sample (N = 442) found the Conditional Reasoning and IAT were the least susceptible to faking, but they did not have a meaningful relationship with the IPIP. ","Poster",3802,22,2011
"Graduate Study From 30,000 Feet: Global Perspectives on Learning Abroad","The objective of this panel discussion is to engage parties in a discussion of the benefits and costs of international graduate study, giving consideration to developmental, financial, professional, and personal outcomes. Included will be expert perspectives from graduate students, faculty, and practitioners.","Panel Discussion",3803,6,2011
"Hell Is Other People: Exploring Social Influences on Working Parents","Work-family research has largely viewed other people within the workplace and family merely as sources for support or demand. Researchers within this symposium will take a more complex view of the role of others by considering the impact of attributions, stereotypes, and social interactions on working parents.","Symposium/Forum",3804,2,2011
"Mergers and Acquisitions: Sharing Lessons Learned","Mergers and acquisitions are an important element for corporate growth that require significant expertise for success. In this panel HR leaders from several industries will discuss the role of I-O psychology in facilitating success. The discussion will focus on their experience in recent M&A activity including application of lessons learned.","Panel Discussion",3805,6,2011
"Statistical and Methodological Myths and Urban Legends: Part VI","This symposium presents 4 statistical and methodological myths and urban legends that have not been discussed previously with the intent of (a) uncovering the kernel of truth and myths supporting them and (b) providing more informed bases for their application in the organizational sciences.  ","Symposium/Forum",3806,2,2011
"Text Mining Insights","Qualitative data in the form of comments are collected widely in organizations. Text mining can reduce the work needed to gain insights from these data. However, many industrial-organizational psychologists are less familiar with the available techniques. This session will address common questions, recent experiences, and new developments in this area.","Roundtable Discussion/Conversation Hour",3807,7,2011
"Ability, Personality, and Motivational influences on Aging and Work","The aging of the workforce has spurred research examining the relationship between age and key outcomes such as retirement intentions, turnover, organizational commitment, and training success. This symposium examines individual differences (e.g., motivation, personality, abilities) that influence these relationships and illuminates the psychological processes influencing aging and work.","Symposium/Forum",3808,2,2011
"ROI in Retail:  Innovating How Effectiveness Is Measured","The retail industry provides a variety of opportunities for I-O psychologists. With every new initiative, I-Os need to be prepared to demonstrate the return on investment of their work. This symposium explores innovation and advancements in the ways I-Os can measure, document, and increase ROI in retail organizations.","Symposium/Forum",3809,2,2011
"The Latest and Greatest in Workplace Safety Research","Academics and practitioners present the latest research on workplace safety. Topics include using personality to predict safety performance and outcomes, examining differences in safety climate perceptions, and investigating how different types of stressors affect safety performance. Presenters discuss practical implications of their findings and directions for future safety research.","Symposium/Forum",3810,2,2011
"Implementing New Performance Management Programs: Challenges and Change Management","Panelists from diverse industries will share experiences making large-scale changes to their organization's performance management programs.  The panelists will describe the change management strategies employed and how they overcame various obstacles or setbacks in their organizations to achieve successful outcomes.","Panel Discussion",3811,6,2011
"Workplace Civility Perceptions: Measurement, Effects of Organizational Roles, and Demographics","This symposium focuses on measuring employee perceptions of interpersonal climate, specifically workplace civility. Presenters examine perceptions of civility versus incivility, effects of demographic differences, and effects of organizational roles on employees' ratings of these constructs as they pertain to describing organizational environments and to experiencing particular individuals. ","Symposium/Forum",3812,2,2011
"Pregnant, Disabled, Sick, Surviving: Experiences and Outcomes of Workplace Stigma","At work, people are expected to be healthy and capable. An identity that appears to conflict with these expectations leads to stigmatization, which can result in discrimination. We present 4 studies of workplace stigma among pregnant workers, cancer survivors, workers with chronic illness, and workers with physical disabilities.","Symposium/Forum",3813,2,2011
"Conducting KSAO and Competency-Based Job Analyses: Advice From the Field","KSAOs and competencies are common outputs from a job analysis. Whereas previous discussions have focused on establishing which practice is better, our discussion will focus on the relationship between the 2 concepts and utilizing both models in practice. Panelists will discuss best practices, legal considerations, and their applied experiences.","Panel Discussion",3814,6,2011
"Profiles in Commitment: Person-Centered Approaches to Occupational and Organizational Attachment","Researchers have increasingly recognized the value of person-centered (i.e., profile) approaches for understanding commitment in organizations. Our symposium presents 5 studies investigating various profiles of organizational and/or occupational commitment. These studies illustrate the general potential of person-centered approaches for I-O psychology and highlight methodological strategies for person-centered research.

","Symposium/Forum",3815,2,2011
"Reject, Revise, Resubmit: Editors' Tips for Responding to Journal Reviews","This session assembles editors and editorial board members of top-tier journals for a panel on addressing reviewers' comments in journal reviews. Panelists will answer questions about how to maximize the chances of a successful revision, and attendees will be given the opportunity to ask questions related to the review process.","Panel Discussion",3816,6,2011
"Follow Through, the Key to ROI in Executive Coaching","Despite enormous popularity, questions linger about the value of executive coaching. And although psychologists focus on insight, the impact of coaching hinges on follow-through action. Four seasoned coaches will share methods, tools, and techniques for beefing up the back end of coaching to maximize the odds of improving performance.","Symposium/Forum",3817,2,2011
"Emotional Display Rule Deviance: Antecedents and Consequences","Display rule deviance occurs when employees express emotions that are inconsistent with emotional display norms. Four empirical studies are presented that examine antecedents and consequences of display rule deviance. The researchers will discuss both volitional and nonvolitional deviance from display rules, and several different operationalizations of deviance will be explored.","Symposium/Forum",3818,2,2011
"Measurement Equivalence of Personality and Leadership on Four Continents","Organizations and researchers should assess measurement equivalence before interpreting scores from different groups. This session presents 3 substantive studies that use IRT and structural equations approaches to measurement equivalence in personality and leadership areas.","Symposium/Forum",3819,2,2011
"Virtual Teams","Community of Interest","Community of Interest",3820,12,2011
"Improving SIOP's Advocacy Efforts","Let's use our collective voice through SIOP's new External Relations Committee! The ERC is establishing relationships with other organizations and developing strategies to effectively use the resources provided by organizations (APA, APS, FABBS) paid through our dues to provide advocacy support. Representatives from allied organizations (e.g., SHRM, ATP, HRES) will be invited to participate in the discussion.","Special Events",3821,1,2011
"A Job Club for Older Job Seekers: Why It Works","In response to the increasing number of older adults in the job market, research is needed to address job search interventions designed for this population. The study utilizes a longitudinal design to explore participant experience of 3-week group-based job search training on learning and attitudes/efficacy changes. ","Poster",3822,22,2011
"Personality and Synchronicity Interaction Predicts Training Performance in Online Discussion","112 undergraduates completed a Big 5 and self-monitoring (SM) personality measure and then completed an Internet-based training program, in which they were randomly assigned to 1 of 3 online discussion technologies.  Openness to Experience and SM predict knowledge and retention test scores. Interaction with technology provides incremental validity.","Poster",3823,22,2011
"Factors Influencing Knowledge and Skill Decay in Training: A Meta-Analysis","This meta-analysis integrated 111 datapoints from 38 reports that investigated organizationally relevant training in relation to knowledge and skill decay. Results indicated that decay effects vary in size depending on not only the length of nonuse but, more importantly, depending on several methodological and task-related factors.","Poster",3824,22,2011
"A Process Model of Error-Management Training Effects on Performance","We examined a process model of error management effects on performance on a course scheduling task (N = 168). Structural equations modeling provided support for the hypothesized model, indicating that metacognition, self-efficacy, and subjective task complexity mediate the effects of error management training on performance quality (errors) and quantity (schedules).  ","Poster",3825,22,2011
"Cognitive and Motivational Influences on Training Performance: A Longitudinal Study","This longitudinal study examined who recovers from poor initial training performance. Military personnel (N = 578) completed a 4-6 month language training program. Early training performance was a function of cognitive ability. Ultimate skill acquisition was predicted by a complex mixture of cognitive ability, motivation to train, and early training performance.","Poster",3826,22,2011
"The Role of Posttraining Performance Feedback on Trainer Ratings","This study explored the effect of trainees' performance feedback on trainer ratings. Ratings were lower when given after performance feedback, and ratings were also affected by course difficulty and trainee performance. Results are explained through the self-serving bias and implications for training evaluation are discussed.","Poster",3827,22,2011
"Learner-Controlled Practice Difficulty: The Roles of Cognitive and Motivational Processes","This study tested a causal model of how learner-controlled practice difficulty is linked to complex skill acquisition. Results showed that general mental ability and self-efficacy relate to learner-controlled difficulty, which in turn relates to task knowledge, posttraining performance, and adaptive performance directly and through the cognitive process of self-evaluation.","Poster",3828,22,2011
"Houston, We Have a Problem-Solving Model for Training","Like many organizations, NASA has a business need to efficiently train new employees to effectively handle a variety of complex situations.  We describe how a model of problem solving for flight controllers was built and how such a process could be used to improve training in similar operational environments.","Poster",3829,22,2011
"Complex Skill Acquisition Ability-Growth Interactions: A Spline-Modeling Approach","While controlling for past acquisition, this study modeled the changing contributions over time of 3 abilities toward complex skill acquisition for a relatively closed but complex and inconsistent task. Results indicated that the contributions of abilities toward skill acquisition may not be as dynamic as previous theory might suggest.","Poster",3830,22,2011
"Evaluating Advance Organizer Effectiveness in a Foreign Language Training Context","Pretraining interventions are designed to enhance learning during training by introducing activities or materials prior to training that can lead to increased posttraining outcomes. This study explored the effect of advance organizers, a type of pretraining intervention, on posttraining skill. Extent of advance organizer use significantly predicted posttraining language skill.","Poster",3831,22,2011
"The Expert-Led After-Action Review Training Approach: An Empirical Test","We examined the effectiveness of an expert-led after-action review (AAR) versus a non-AAR team training approach. Teams trained using expert-led AARs attained higher team performance, reported higher team-efficacy, and were better able to adapt their performance than teams trained with an AAR.","Poster",3832,22,2011
"Training Students to Increase Employment Opportunity Using Social Networking Web Sites","This study tested training effectiveness on job-seeking students' online social networking Web site (SNW) activities, so that SNWs can promote rather than hinder their employment prospects. Participants increased their intentions of changing the SNW profiles, mediated by their attitudes and subjective norms. Trainees' higher motivation to learn led to greater intentions.","Poster",3833,22,2011
"Differential Ability and Complexity Effects: Performance, Self-Efficacy, Cognitive Appraisals","We proposed a multilevel model of differential effects of ability and task complexity (objective and subjective) on the outcomes of performance, self-efficacy, and cognitive appraisals. Results indicated that ability and objective task complexity relate more strongly to performance and self-efficacy whereas subjective task complexity relates more strongly to cognitive appraisals.","Poster",3834,22,2011
"Individual Adaptability Incrementally Predicts Performance in a Dynamic Training Environment","Utilizing Ployhart & Bliese's individual ADAPTability (I-ADAPT) theory, we assessed 69 U.S. Army lieutenants completing training on a dynamic performance task.  I-ADAPT was related to training performance. Furthermore, I-ADAPT accounted for incremental variance above cognitive ability and self-efficacy. Surprisingly, there was no significant relationship between I-ADAPT and cognitive ability.","Poster",3835,22,2011
"Critical Social Thinking Training: A Framework for Design & Delivery","There is a need to train critical social thinking skills in order to improve cognitive and social reasoning, enhance performance, and ultimately result in better outcomes. The purpose of this paper is to provide researchers and practitioners with a framework for designing and implementing critical social thinking training interventions.","Poster",3836,22,2011
"Selection via Smart Phone/Mobile Devices: Is I-O Psychology Ready?","Technology is shifting from the use of PCs/Internet to smart phones/mobile devices. Organizations want to use these devices to reach potential applicants quickly. This panel will include perspectives from academia, practice, and technology to explore the advantages and challenges of using smart phones/mobile devices for personnel selection.","Panel Discussion",3837,6,2011
"International Leadership Development Through the Use of Personality Assessments","Psychologists, consultants, and test publishers have made great strides in translating, adapting, and encouraging the international use of assessments for leadership development. In this session, panelists representing major global test publishers will discuss how their assessments are used for leadership development in foreign countries and the challenges they encounter.","Panel Discussion",3838,6,2011
"Organizational Research and Grant Funding: Challenges, Benefits, and Opportunities","This seminar will focus on various key issues in the process of applying for grant funding. Specifically, the 3 presenters with expertise in different areas will discuss how to identify funding opportunities most appropriate for I-O psychologists and what strategies to use for different stages of developing grant applications.","Friday Seminars",3839,539,2011
"Academic Mentoring Relationship Communication Processes and Participant-Reported Effectiveness","This study attempted to broaden our understanding of communication processes that occur in academic mentoring relationships. The Linguistic Inquiry Word Count (LIWC) program was used to examine numerous components of mentor and protege communications, and how these communications related to indicators of relationship effectiveness.","Poster",3840,22,2011
"Mentoring in Academia: Who Needs It?","This study identified some personal and situational characteristics of faculty members associated with the perceived need for mentoring and determined that less experienced employees, women, and ethnic minorities reported significantly stronger needs for all mentoring functions. Employees who experienced incivility or discrimination reported a significantly higher need for psychosocial mentoring.","Poster",3841,22,2011
"Attachment Anxiety in Mentoring Relationships: The Mediating Role of Commitment","Relationship commitment was examined as a mediator in the association between protege anxious attachment and the feedback behaviors of both mentors and proteges. Data were collected from doctoral student proteges and their faculty mentors. Results reveal the important role played by perceptions of partner commitment.","Poster",3842,22,2011
"Predictors of New Employee Socialization to Organizations","This longitudinal study investigated management trainees' initial self-efficacy, person-organization fit, and person-job fit as predictors of socialization outcomes following training at job entry. Self-efficacy, person-organization fit, and needs-supplies fit measured at entry were significantly correlated with posttraining socialization, but only needs-supplies fit had independent effects on the socialization outcomes. ","Poster",3843,22,2011
"Social Network Centrality, Career Satisfaction, and Career Self-Efficacy in College","We hypothesized that students who are the most central within an academic social network will have more exposure to vicarious learning experiences that further their career development. Through the use of a social network analysis, we found that centrality was predictive of anticipated career satisfaction but not career self-efficacy.","Poster",3844,22,2011
"Proactivity Fits: Fit as Mediator Between Career Initiative and Success","Person-environment fit mediates the relationship of proactive career behaviors with career satisfaction and job performance.  Using dyadic supervisor-subordinate data (n=166), and casting career initiative as a predictor, it is concluded that needs-supplies fit mediates the relationship with career satisfaction and demands-abilities fit the relationship with job performance","Poster",3845,22,2011
"Development and Pilot Testing of a Business Networking Self-Assessment","It is becoming increasingly important for individuals in organizations to take an active role in creating business networks, which are critical to successful performance. This study describes the development of a 4-factor measure of networking, including reliability and validity results from an initial pilot of the assessment.","Poster",3846,22,2011
